Country Code,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
414,Kuwait,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
188,Costa Rica,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14
48,Bahrain,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
442,Luxembourg,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
96,Brunei Darussalam,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
384,Côte d'Ivoire,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12
894,Zambia,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12
516,Namibia,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12
152,Chile,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
591,Panama,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
634,Qatar,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
604,Peru,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
50,Bangladesh,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
144,Sri Lanka,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
703,Slovakia,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
